priority,vendor,address,phone,hours_pt,category,candidate,buy_now,additional_after_unit001_pass,total_target,current_status,acceptance_gate,url,checked_pt
1,Cadex Electronics,"22000 Fraserwood Way, Richmond BC",604-231-7777,08:00-16:30,battery,"Renata ICP501022UPM / 100640",1,11,12,"physical stock unconfirmed","Exact label/lot/docs; isolate 12; pack body <=24x10x5.5; first article only",https://www.cadex.com/contact-us,2026-09-01
2,Swiss Watch Parts,"Suite 626, 602 W Hastings St, Vancouver BC",604-685-9949,09:00-16:00,battery,"Renata ICP501022UPM / 100640",1,11,12,"Renata-listed partner; physical stock unconfirmed","Exact label/lot/docs; isolate 12; one article plus unpaid hold",https://www.renata.com/en-us/distribution-partners/,2026-09-01
3,Vancouver Battery,"1875 Ontario St, Vancouver BC",604-737-8463,09:00-17:00,battery,"Renata ICP501022UPM / exact documented equivalent",1,11,12,"physical stock unconfirmed","No substitution without complete MPN datasheet protection and exact UN38.3",https://vancouverbattery.com/contact-us/,2026-09-01
4,Lee's Electronic Components,"4131 Fraser St, Vancouver BC",604-875-1993,09:00-17:30,battery,"PID160959 / PID8834 fallback inspection",1,11,12,"indexed candidates; no adequate maker documents","Reject unless every battery counter gate passes; alternatives not cumulative",https://leeselectronic.com/,2026-09-01
5,Lee's Electronic Components,"4131 Fraser St, Vancouver BC",604-875-1993,09:00-17:30,haptic,"PID10431 sealed 3 V 10x2.7 mm coin motor",3,9,12,"listing only; stock/current not reserved","Maker/MPN; finished gauge; free-run/startup/stall current; duty; no-reset/audio/RF test",https://leeselectronic.com/en/category/2272-electrical-devices,2026-09-01
6,Lee's Electronic Components,"4131 Fraser St, Vancouver BC",604-875-1993,09:00-17:30,driver,"SOT-23 NPN: PID71223 SS8050 or PID22107 MMBT2222A candidate","1 pack",0,"1 pack","listing only","Select one exact MPN only; verify pinout and current/thermal margin",https://leeselectronic.com/en/product/71223-smd-transistor-code-y1-ss8050-sot-23-25v-15a.html,2026-09-01
7,Lee's Electronic Components,"4131 Fraser St, Vancouver BC",604-875-1993,09:00-17:30,driver,"PID160021 BAT54 SOT-23 Schottky","1 pack",0,"1 pack","search-indexed 10; not reserved","Use only if exact datasheet pulse/current rating exceeds measured motor transient with margin; verify pinout",https://leeselectronic.com/en/product/160021-schottky-diode-bat54-30v-02a-sot23.html,2026-09-01
8,Lee's Electronic Components,"4131 Fraser St, Vancouver BC",604-875-1993,09:00-17:30,driver,"PID914081 1k 0805 + PID17426 10k 0603","1 pack each",0,"1 pack each","search-indexed; not reserved","SMD only; fully insulated finished driver must pass 8x4x2 gauge",https://leeselectronic.com/en/product/914081-resistors-smd-1k-ohm-0805-20pcs.html,2026-09-01
9,Lee's Electronic Components,"4131 Fraser St, Vancouver BC",604-875-1993,09:00-17:30,insulation,"0.05 mm total Kapton/PET; fine stranded wire; thin heat-shrink","enough for 3 units","enough for 9 units","enough for 12","exact sizes unconfirmed","Floor insulation total <=0.05 mm; wire/strain relief must dry-fit without pouch load",https://leeselectronic.com/,2026-09-01
10,Local 3D-print supplier / in-house,"Vancouver BC",,open today,printing,"Black PETG or PETG-HF verified lot",1 spool,0,1 spool,"confirm in hand","Dry filament; label lot; print both bands bridge jig gauges and bond coupons",,2026-09-01
11,Local industrial adhesive supplier,"Vancouver BC",,call first,structural bond,"Permabond TA4550 target or manufacturer-approved PA12-to-PETG structural adhesive",1,0,1,"local stock unconfirmed","TDS must support actual pair; coupon + full cure + seam abuse gate",https://permabond.com/ta4550-nylon-bonder/,2026-09-01
12,Local electronics/foam supplier,"Vancouver BC",,call first,assembly consumables,"Closed-cell microphone gasket/mesh; <=0.10 mm insulated transfer adhesive; 0.05 mm witness film",1 set,0,1 set,"source unconfirmed","No acoustic blockage; no metal carrier in antenna zone; exact thickness recorded",,2026-09-01
13,Memory Express,"1900 W Broadway, Vancouver BC",,10:00-20:00,existing order,"CSO006089271 cards/cables",0,0,0,"ready notice; C$386.74 due at pickup","Not a Unit 001 dependency; do not collect without separate authorization",https://www.memoryexpress.com/Store/Location/VBBC,2026-09-01
