Ref,Val,Package,PosX,PosY,Rot,Side
"C6","10uF/10V","C_0805_2012Metric",33.000000,-3.500000,0.000000,bottom
"C7","100nF","C_0402_1005Metric",33.000000,-14.000000,0.000000,bottom
"C8","10uF/10V","C_0805_2012Metric",26.500000,-13.500000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",19.700000,-15.600000,0.000000,bottom
"C10","100nF","C_0402_1005Metric",23.400000,-15.600000,0.000000,bottom
"C11","100nF","C_0402_1005Metric",29.200000,-4.500000,0.000000,bottom
"C12","100nF","C_0402_1005Metric",23.600000,-5.400000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",7.000000,-15.500000,90.000000,bottom
"D3","B5819WS","D_SOD-323",20.500000,-13.500000,0.000000,bottom
"J2","BATT","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",11.300000,-7.500000,-90.000000,bottom
"J3","MOTOR","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",12.000000,-14.900000,180.000000,bottom
"Q1","2N7002","SOT-23",17.500000,-9.500000,0.000000,bottom
"R8","4.7k","R_0402_1005Metric",21.500000,-6.500000,0.000000,bottom
"R9","4.7k","R_0402_1005Metric",21.500000,-11.500000,0.000000,bottom
"R12","100R","R_0402_1005Metric",15.600000,-6.800000,0.000000,bottom
"R13","100k","R_0402_1005Metric",16.500000,-13.500000,0.000000,bottom
"R14","1M","R_0402_1005Metric",4.500000,-14.500000,0.000000,bottom
"R15","1M","R_0402_1005Metric",4.500000,-16.300000,0.000000,bottom
"U5","W25Q128JVSIQ","SOIC-8_5.3x5.3mm_P1.27mm",28.500000,-9.000000,0.000000,bottom
"U6","LIS2DHTR","LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y",22.200000,-9.000000,0.000000,bottom
"C1","1uF/25V","C_0603_1608Metric",11.800000,-2.200000,0.000000,top
"C2","10uF/25V","C_0805_2012Metric",19.000000,-8.500000,0.000000,top
"C3","10uF/10V","C_0805_2012Metric",10.500000,-13.200000,90.000000,top
"C4","10uF/10V","C_0805_2012Metric",23.000000,-8.500000,0.000000,top
"C5","1uF","C_0603_1608Metric",21.600000,-2.200000,0.000000,top
"D1","RED","LED_0603_1608Metric",20.000000,-10.400000,0.000000,top
"D2","BLUE","LED_0603_1608Metric",20.000000,-12.600000,0.000000,top
"J1","USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",4.700000,-9.000000,90.000000,top
"MK1","SPH0641LU4H-1","Knowles_LGA-5_3.5x2.65mm",19.700000,-15.600000,0.000000,top
"MK2","SPH0641LU4H-1","Knowles_LGA-5_3.5x2.65mm",23.400000,-15.600000,0.000000,top
"R1","5.1k","R_0402_1005Metric",9.300000,-2.000000,0.000000,top
"R2","5.1k","R_0402_1005Metric",9.300000,-16.000000,0.000000,top
"R3","11k","R_0402_1005Metric",14.600000,-2.200000,0.000000,top
"R4","3.0k","R_0402_1005Metric",16.800000,-2.200000,0.000000,top
"R5","100k","R_0402_1005Metric",19.000000,-2.200000,0.000000,top
"R6","100k","R_0402_1005Metric",18.500000,-5.500000,90.000000,top
"R7","10k","R_0402_1005Metric",10.500000,-4.000000,0.000000,top
"R10","470R","R_0402_1005Metric",17.400000,-10.400000,0.000000,top
"R11","220R","R_0402_1005Metric",17.400000,-12.600000,0.000000,top
"SW1","EVQ-P7C01P","SW_SPST_EVQP7C",15.100000,-15.400000,0.000000,top
"U1","MDBT50Q-1MV2","Raytac_MDBT50Q",33.500000,-9.000000,-90.000000,top
"U2","BQ24075RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",14.500000,-5.500000,0.000000,top
"U3","AP2112K-3.3","SOT-23-5",23.200000,-5.300000,90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",11.200000,-9.500000,0.000000,top
