lap,ts_utc,target_version,target_sha,suite_hash,phase,lap_type,intended_metric,builder_commit,gates_passed,gate_closed,catch_rate,catch_rate_worst,correct_action_rate,false_action_count,silent_harm_count,interrupt_cost,interrupt_cost_worst,e2e_completion_rate,memory_recall_worst,worst_persona,personas_run,metric_moved,delta,judge_verdict,kept,treadmill_count,budget_mode,spend_total_usd,wall_seconds,notes
20260610T045550Z,2026-06-10T05:12:58Z,2,25238862e216,e0db2ed3d218,P1-closed-loop,build,phase_gate (gate_P1.sh leg S2_reminder_fires),a26e064bdd68846bafd0accc94eaaa27d6f90b21,False,False,0.6984,0.5,0.4818,19,0,5.4375,10.5,0.2253,0.3333,doctor_amara,8,catch_rate_worst,+0.5000 (first measurement),NA,False,1,FULL,0.0,61,"Gate S2 fails because no code converts spoken due-times into timestamps (TriggerWatcher checks due_ts but nothing ever sets it) and no scheduler ticks the watcher; adding a deterministic duetime parser anchored to event meta observed_at (fields due_ts + remind_ts=due-15min), a lifespan scheduler calling trigger_tick every ANTICIPY_TICK_SECONDS plus POST /trigger/tick, and notify-not-ask routing fo"
20260610T051949Z,2026-06-10T05:20:28Z,2,25238862e216,e0db2ed3d218,P1-closed-loop,build,,de6bd3fc16ed4ef342181004c43c3e48fcbe29a3,True,False,0.6667,0.5,0.5062,19,0,5.4375,10.5,0.2354,0.3333,doctor_amara,8,catch_rate_worst,+0.5000 (first measurement),NA,True,0,FULL,0.0,39,
20260610T052102Z,2026-06-10T05:39:22Z,2,25238862e216,e0db2ed3d218,P1-closed-loop,build,phase_gate (gate_P1.sh first-close: core legs S1-S4),,,False,0.6667,0.5,0.5062,19,0,5.4375,10.5,0.2354,0.3333,doctor_amara,8,none,,NA,False,1,FULL,0.0,,"Lap 20260610T045550Z's builder-verified S2 chain (duetime grounding + tick scheduler + notify routing) was FALSELY reverted by the since-fixed holdout string-scan (see factory/bin/scan_holdout.py docstring), and the one remaining red core leg S3_vent_silent fails because hedge-nonspecific lines ('someday'/'at some point'/'eventually' with no concrete time anchor) survive triage and fail-safe to AS"
20260610T060701Z,2026-06-10T06:07:01Z,,,,P1-closed-loop,build,phase_gate (gate_P1.sh first-close: verify the already-landed P1 slice and reque,7ccbd4196cc866deafd02e8cade744d350125f47,True,True,0.6667,0.5,0.5062,19,0,5.4375,10.5,0.2604,0.3333,doctor_amara,8,none,,REAL,True,,FULL,,,"RECONSTRUCTED after C14 measurement rollback: P1 FIRST CLOSURE; judge verdict REAL (recomputed 2 personas exact, holdout run, zero holdout contact)"
20260610T062952Z,2026-06-10T06:29:52Z,,,,P1-closed-loop,build,catch_rate_worst,16956ef4f47e9a1f99dd3cf3d477f1909d299a80,True,False,1.0,1.0,0.6788,0,0,1.0625,1.5,0.3427,1.0,contractor_luis,8,catch_rate_worst,,NA,True,,FULL,,,"RECONSTRUCTED after C14 measurement rollback: speech-act triage rewrite: catch worst 0.50->1.0, false 19->0, interrupt worst 10.5->1.5"
20260610T070648Z,2026-06-10T07:06:48Z,,,,P1-closed-loop,groundwork,catch_rate_worst (via gate_P2 thresholds; TARGET v3 STAGE 2 items 1-2),ef30b63f37cf8af7d521fc6d66b96bcc19257891,True,False,1.0,1.0,0.6788,0,0,1.0625,1.5,0.3427,1.0,contractor_luis,8,none,,NA,True,,FULL,,,"RECONSTRUCTED after C14 measurement rollback: Track-B decider landed (live-only, fail-SILENT) between triage and harm-line"
20260610T072358Z,2026-06-10T07:23:58Z,,,,P1-closed-loop,build,catch_rate_worst (gate_P2 thresholds at LIVE tier — the validation build lap nam,ef30b63f37cf8af7d521fc6d66b96bcc19257891,True,False,1.0,1.0,0.6788,0,0,1.0625,1.5,0.3427,1.0,contractor_luis,8,none,,NA,True,,FULL,,,RECONSTRUCTED after C14 measurement rollback: live-tier validation: decider holds gate_P2 guards on real Gemini behavior incl. 429 pressure
20260610T074854Z,2026-06-10T07:48:54Z,,,,P1-closed-loop,build,catch_rate_worst (gate_P2 thresholds at LIVE tier — re-landing lap 20260610T0723,e8caf95d6b8b212cbf7a99f48cc359f7977027e8,True,False,1.0,1.0,0.6788,0,0,1.0625,1.5,0.3427,1.0,contractor_luis,8,none,,NA,True,,FULL,,,RECONSTRUCTED after C14 measurement rollback: F5 fix re-landed from validation lap findings
20260610T080849Z,2026-06-10T08:08:49Z,,,,P1-closed-loop,build,catch_rate_worst (gate_P2 thresholds at LIVE tier on the FULL 8-persona dev bank,2d62aa8b1b8eaa6eeac43f307a96dde58ccd6e9b,True,False,1.0,1.0,0.6788,0,0,0.625,1.0,0.3427,1.0,contractor_luis,8,none,,NA,True,,FULL,,,RECONSTRUCTED after C14 measurement rollback: interrupt_cost_worst live margin work
20260610T083047Z,2026-06-10T09:11:20Z,3,28fc402d9952,e0db2ed3d218,P1-closed-loop,build,"interrupt_cost_worst (gate_P2 threshold at LIVE tier — currently measured EXACTLY at the 3.0 bound, zero margin, and on STALE data: the only full-bank live run (20260610T080849Z-live, 01:12-01:19 PDT) predates the ask-debounce commit 2d62aa8 (01:27 PDT); the post-debounce live2 re-run died mid-flight at 3/8 personas. The stub-tier scoreboard CANNOT mechanically count this lap: catch_rate_worst is at the ratchet ceiling 1.0 on the dev bank, the decider+debounce live deltas are invisible at stub, and the registered phase_gate gate_P1 already first-closed — treadmill 4->5 is expected, stated honestly, and IS the designed escalation that wakes the foreman to flip TARGET to P2/gate_P2)",ebb0789f2f303c36ccc5ff9031dab34ead291ae5,True,False,1.0,1.0,0.6788,0,0,0.625,1.0,0.3427,1.0,contractor_luis,8,catch_rate_worst,+0.5000,NA,False,2,FULL,0.0,31,"Re-running the full 8-persona dev bank live at HEAD will show the debounce absorbing the money-transfer asks that dominated the pre-debounce unmatched-ask evidence, leaving celebration/banter/self-directed-imperative narration ('Kill the zombies. Time-box the mystery.', 'Stamp it, frame it', 'Pop the sparkling water', 'Homework time. Maya, pencil, paper') as the worst remaining live interrupt clas"
